model,optimizer,hidden_layers,learning_rate,epoch,train_loss,val_loss,accuracy,precision,recall,f1,best_val_loss,best_accuracy,best_f1
distilbert,adam,2_hidden,0.0001,3,0.38182247771852545,0.32624775413274765,0.8636,0.8636007564921038,0.8636,0.8636002400686477,0.32624775413274765,0.8636,0.8636002400686477
distilbert,adam,2_hidden,0.0001,4,0.3761348031500975,0.31720628300607207,0.8732,0.8755067768441899,0.8732,0.8730325318468148,0.31720628300607207,0.8732,0.8730325318468148
distilbert,adam,2_hidden,0.0001,5,0.37784668065773114,0.31761402197182176,0.8704,0.8704534324605937,0.8704,0.8703994193916283,0.31720628300607207,0.8732,0.8730325318468148
distilbert,adam,2_hidden,0.0005,1,0.4398457940177785,0.34893778911828993,0.8492,0.8523271757575756,0.8492,0.8488228329979324,0.34893778911828993,0.8492,0.8488228329979324
distilbert,adam,2_hidden,0.0005,2,0.40580114292436176,0.3556340121090412,0.8408,0.8537461944115238,0.8408,0.8394186232320319,0.34893778911828993,0.8492,0.8488228329979324
distilbert,adam,2_hidden,0.0005,3,0.4003599852151341,0.3177401578605175,0.8716,0.8736236459790071,0.8716,0.871452161558446,0.3177401578605175,0.8716,0.871452161558446
distilbert,adam,2_hidden,0.0005,4,0.39398034911321267,0.3244280529379845,0.868,0.8687682051282052,0.868,0.8679479441951938,0.3177401578605175,0.8716,0.871452161558446
distilbert,adam,2_hidden,0.0005,5,0.39622114569909045,0.3337897813498974,0.8616,0.8645839635290962,0.8616,0.8613515897435896,0.3177401578605175,0.8716,0.871452161558446
distilbert,adam,2_hidden,0.001,1,0.44644213680989214,0.3726439515650272,0.8336,0.847407327971403,0.8336,0.8320277395491085,0.3726439515650272,0.8336,0.8320277395491085
distilbert,adam,2_hidden,0.001,2,0.4216163106209702,0.3263736568570137,0.8616,0.8616190628328008,0.8616,0.861600708609814,0.3263736568570137,0.8616,0.861600708609814
distilbert,adam,2_hidden,0.001,3,0.41824664792550936,0.33088867812752726,0.8576,0.8580599186047406,0.8576,0.857539179552002,0.3263736568570137,0.8616,0.861600708609814
distilbert,adam,2_hidden,0.001,4,0.4203323610166709,0.3367145725995302,0.8544,0.8570245668276973,0.8544,0.8541675500275269,0.3263736568570137,0.8616,0.861600708609814
distilbert,adam,2_hidden,0.001,5,0.41767669068690805,0.3405393020391464,0.8588,0.860675440325377,0.8588,0.8586450300132717,0.3263736568570137,0.8616,0.861600708609814
distilbert,adamw,0_hidden,1e-05,1,0.6616830061594645,0.6216183771133423,0.7864,0.7866960419500524,0.7864,0.7863662304594864,0.6216183771133423,0.7864,0.7863662304594864
distilbert,adamw,0_hidden,1e-05,2,0.6043955104192098,0.5695054138660431,0.8072,0.8077765213106676,0.8072,0.807082443843253,0.5695054138660431,0.8072,0.807082443843253
distilbert,adamw,0_hidden,1e-05,3,0.5618302518685658,0.5303554405212403,0.814,0.8140736586861966,0.814,0.8139793727259037,0.5303554405212403,0.814,0.8139793727259037
distilbert,adamw,0_hidden,1e-05,4,0.5310750120189455,0.5022682858943939,0.8216,0.8231423381117152,0.8216,0.8213484102564104,0.5022682858943939,0.8216,0.8213484102564104
distilbert,adamw,0_hidden,1e-05,5,0.5071135501782099,0.48000480222702024,0.8248,0.8264328449916436,0.8248,0.8245422371576622,0.48000480222702024,0.8248,0.8245422371576622
distilbert,adamw,0_hidden,5e-05,1,0.58041023759577,0.4861601726531982,0.8264,0.8266470096159761,0.8264,0.8263519853718875,0.4861601726531982,0.8264,0.8263519853718875
distilbert,adamw,0_hidden,5e-05,2,0.46892359150383206,0.4189444591999054,0.8404,0.8405423689214436,0.8404,0.8403731040466007,0.4189444591999054,0.8404,0.8403731040466007
distilbert,adamw,0_hidden,5e-05,3,0.4278538910879029,0.388983768761158,0.8492,0.8495177532482098,0.8492,0.8491519894279201,0.388983768761158,0.8492,0.8491519894279201
distilbert,adamw,0_hidden,5e-05,4,0.4076674428668287,0.37465823914408686,0.8468,0.8483618764150996,0.8468,0.8465975938496851,0.37465823914408686,0.8492,0.8491519894279201
distilbert,adamw,0_hidden,5e-05,5,0.39425268679128755,0.3634360243797302,0.848,0.8496057388631924,0.848,0.8477947155917671,0.3634360243797302,0.8492,0.8491519894279201
distilbert,adamw,0_hidden,0.0001,1,0.5181577561153305,0.41791832857131955,0.838,0.8386690646512645,0.838,0.8378979789244255,0.41791832857131955,0.838,0.8378979789244255
distilbert,adamw,0_hidden,0.0001,2,0.4184397156371011,0.3769863378226757,0.8436,0.8461689603201498,0.8436,0.843269183506515,0.3769863378226757,0.8436,0.843269183506515
distilbert,adamw,0_hidden,0.0001,3,0.3929193398618036,0.35561305016577244,0.8512,0.8523934348692245,0.8512,0.8510483063798376,0.35561305016577244,0.8512,0.8510483063798376
